data_id,timeseries_id,timestamp,value
0,0,2010-01-01,-0.7105199999999999
1,0,2010-01-02,-1.1833
2,0,2010-01-03,-1.3724
3,0,2010-01-04,-1.5931
4,0,2010-01-05,-1.467
5,0,2010-01-06,-1.3724
6,0,2010-01-07,-1.0888
7,0,2010-01-08,0.045967
8,0,2010-01-09,0.92853
9,0,2010-01-10,1.0861
10,0,2010-01-11,1.2753
11,0,2010-01-12,0.96005
12,0,2010-01-13,0.61333
13,0,2010-01-14,0.014447
14,0,2010-01-15,-0.64748
15,0,2010-01-16,-0.26923
16,0,2010-01-17,-0.20619
17,0,2010-01-18,0.61333
18,0,2010-01-19,1.3698
19,0,2010-01-20,1.4644
20,0,2010-01-21,1.0546
21,0,2010-01-22,0.58181
22,0,2010-01-23,0.17205
23,0,2010-01-24,-0.26923
24,1,2010-01-01,-0.99301
25,1,2010-01-02,-1.4268
26,1,2010-01-03,-1.5799
27,1,2010-01-04,-1.6054
28,1,2010-01-05,-1.6309
29,1,2010-01-06,-1.3758
30,1,2010-01-07,-1.0185
31,1,2010-01-08,-0.3551
32,1,2010-01-09,0.71658
33,1,2010-01-10,1.2014
34,1,2010-01-11,1.1248
35,1,2010-01-12,1.0483
36,1,2010-01-13,0.79313
37,1,2010-01-14,0.46142
38,1,2010-01-15,0.48694
39,1,2010-01-16,0.56348
40,1,2010-01-17,0.61452
41,1,2010-01-18,0.30832
42,1,2010-01-19,0.25729
43,1,2010-01-20,1.0993
44,1,2010-01-21,1.0483
45,1,2010-01-22,0.69107
46,1,2010-01-23,-0.048906
47,1,2010-01-24,-0.38062
48,2,2010-01-01,1.3191
49,2,2010-01-02,0.56977
50,2,2010-01-03,0.19513
51,2,2010-01-04,-0.08585599999999999
52,2,2010-01-05,-0.17952
53,2,2010-01-06,-0.27318000000000003
54,2,2010-01-07,-0.08585599999999999
55,2,2010-01-08,-1.3971
56,2,2010-01-09,-1.1161
57,2,2010-01-10,-0.74149
58,2,2010-01-11,0.0078051000000000014
59,2,2010-01-12,-0.08585599999999999
60,2,2010-01-13,0.0078051000000000014
61,2,2010-01-14,-0.4605
62,2,2010-01-15,-0.55416
63,2,2010-01-16,-0.74149
64,2,2010-01-17,-0.74149
65,2,2010-01-18,-0.74149
66,2,2010-01-19,-1.1161
67,2,2010-01-20,-0.4605
68,2,2010-01-21,0.47611
69,2,2010-01-22,2.3493
70,2,2010-01-23,2.2557
71,2,2010-01-24,1.6001
72,3,2010-01-01,-0.8124399999999999
73,3,2010-01-02,-1.1576
74,3,2010-01-03,-1.4164
75,3,2010-01-04,-1.5314
76,3,2010-01-05,-1.5027
77,3,2010-01-06,-1.4164
78,3,2010-01-07,-1.6465
79,3,2010-01-08,-0.46734
80,3,2010-01-09,0.65427
81,3,2010-01-10,1.0569
82,3,2010-01-11,1.3445
83,3,2010-01-12,1.2007
84,3,2010-01-13,0.99938
85,3,2010-01-14,0.65427
86,3,2010-01-15,0.74055
87,3,2010-01-16,0.88434
88,3,2010-01-17,0.88434
89,3,2010-01-18,0.68303
90,3,2010-01-19,0.62551
91,3,2010-01-20,0.4242
92,3,2010-01-21,-0.0071898
93,3,2010-01-22,-0.035949
94,3,2010-01-23,0.10785
95,3,2010-01-24,-0.26602
96,4,2010-01-01,-0.97284
97,4,2010-01-02,-1.3905
98,4,2010-01-03,-1.5367
99,4,2010-01-04,-1.6202
100,4,2010-01-05,-1.6202
101,4,2010-01-06,-1.4532
102,4,2010-01-07,-0.99372
103,4,2010-01-08,0.050469
104,4,2010-01-09,0.63522
